Room,,Donut,Waffle,Drink,DonutSet,WaffleSet,,TotalNumber,TotalPrice,,
Alice,,1,0,0,0,0,,1,150,,
Alice,,2,0,0,0,0,,2,300,,
Bear,,0,0,0,2,0,,2,400,,
Alice,,1,0,0,0,0,,1,150,,
Alice,,1,0,0,0,0,,1,150,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,1,0,0,1,0,,2,350,,
Bear,,0,0,0,1,0,,1,200,,
Alice,,0,0,0,1,0,,1,200,,
Bear,,0,0,0,2,0,,2,400,,
Bear,,1,0,0,0,0,,1,150,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,1,0,0,0,0,,1,150,,
Bear,,1,0,0,0,0,,1,150,,
Alice,,1,0,0,1,0,,2,350,,
Bear,,2,0,0,3,0,,5,900,,
Bear,,0,0,0,1,0,,1,200,,
Bear,,1,0,0,0,0,,1,150,,
